Symptoms,HealthFactors,Age Group,Severity,Predicted Disease
"wheezing, sore throat, loss of appetite, weight loss, gas/bloating","rural living, chronic liver disease, obesity, chronic kidney disease",child,mild,Bronchitis
frequent headaches,"obesity, stress",adult,moderate,Asthma
"increased thirst, lightheadedness, chest pain, difficulty concentrating, voice tremor, loss of balance, back pain",obesity,teenager,moderate,Hyperthyroidism
"mood swings, frequent infections",,senior,mild,Addison’s Disease
"involuntary movements, insomnia",malnutrition,teenager,mild,Urinary Tract Infection
difficulty sleeping,chronic kidney disease,senior,mild,Hepatitis C
"frequent belching, mood swings",,adult,severe,Asthma
"fever, nail changes","COPD, chronic liver disease, thyroid disorder",adult,severe,Common Cold
"difficulty urinating, dry mouth, difficulty swallowing, skin discoloration, hallucinations, unsteady gait","alcohol use, malnutrition",adult,severe,Alzheimer’s Disease
swelling in legs,"COPD, family history of cancer",adult,moderate,Anxiety Disorder
"unsteady gait, difficulty swallowing","rural living, asthma, pregnancy",teenager,mild,Addison’s Disease
"hiccups, involuntary movements",,teenager,mild,Mumps
"dry eyes, fever, muscle pain","HIV positive, autoimmune disorder",adult,mild,Hypertension
"joint pain, loss of balance, low energy","pregnancy, allergies",adult,mild,Dengue Fever
"skin discoloration, difficulty swallowing, chest pain, leg cramps","chronic kidney disease, frequent travel",senior,severe,Cataract
sore throat,,adult,severe,Tetanus
"skin discoloration, leg cramps, nail changes, difficulty swallowing, chest pain","frequent travel, allergies, chronic kidney disease",senior,mild,Cataract
"acid reflux, insomnia, skin discoloration, persistent hiccups","long-term medication use, family history of cancer, asthma, malnutrition",teenager,mild,Irritable Bowel Syndrome
"painful urination, muscle stiffness",,teenager,moderate,Otitis Media
"hair loss, dizziness","recent surgery, high cholesterol, chronic kidney disease, diabetes",adult,moderate,COVID-19
"dizziness, bleeding gums, fever",thyroid disorder,adult,severe,Common Cold
"loss of taste, numbness, persistent sneezing","asthma, chronic liver disease",child,moderate,Tension Headache
"unsteady gait, voice tremor","asthma, pregnancy, rural living",senior,severe,Addison’s Disease
"difficulty concentrating, involuntary movements",malnutrition,senior,moderate,Urinary Tract Infection
"dizziness, bleeding gums, fever",chronic liver disease,adult,moderate,Common Cold
"dry eyes, insomnia, trouble walking, muscle pain","mental health disorder, low immunity",teenager,mild,Hypertension
"constipation, palpitations, unsteady gait, muscle pain, muscle stiffness","occupational hazard, night shift worker",adult,mild,Arrhythmia
muscle pain,,adult,mild,Arrhythmia
neck stiffness,,teenager,mild,Anemia
"difficulty speaking, persistent hiccups, unsteady gait, difficulty swallowing, hand tremors, joint pain","family history of heart disease, urban living",teenager,severe,Conjunctivitis
"involuntary movements, difficulty concentrating","malnutrition, smoker",child,mild,Urinary Tract Infection
"lump or swelling, trouble walking",allergies,adult,moderate,Breast Cancer
"weight loss, swelling in legs, sore throat, neck stiffness",,adult,moderate,Tetanus
"frequent urination, fainting, double vision","radiation exposure, thyroid disorder, chronic kidney disease",adult,mild,Pneumonia
fainting,mental health disorder,adult,moderate,Anemia
"difficulty swallowing, blurred vision, double vision, frequent infections, heat intolerance, dry mouth",family history of heart disease,senior,mild,Cushing Syndrome
"nail changes, leg cramps, difficulty swallowing",frequent travel,adult,moderate,Cataract
"joint pain, anxiety",,adult,mild,Meningitis
"difficulty urinating, dry mouth, unsteady gait","occupational hazard, alcohol use",senior,severe,Alzheimer’s Disease
"difficulty urinating, heat intolerance, loss of taste, abdominal pain, irregular heartbeat",,adult,moderate,Lymphoma
"fever, bleeding gums",chronic liver disease,senior,severe,Common Cold
"double vision, frequent headaches, muscle stiffness, frequent belching, low energy, mood swings","mental health disorder, chronic liver disease, obesity",teenager,severe,Asthma
"leg cramps, vomiting, slow healing, anxiety, easy bruising, nausea",occupational hazard,adult,moderate,Coronary Artery Disease
"slow healing, irritability, nail changes, acid reflux, involuntary movements, loss of balance",night shift worker,senior,moderate,Measles
"painful urination, muscle pain, cough, difficulty swallowing, tremors, chest pain, groin pain","malnutrition, alcohol use, occupational hazard, pregnancy",adult,mild,Macular Degeneration
"muscle stiffness, swelling in legs, frequent infections","family history of cancer, vitamin D deficiency, COPD",adult,mild,Anxiety Disorder
"change in voice, increased thirst, muscle stiffness, unsteady gait, leg cramps, loss of appetite",,teenager,moderate,Rheumatoid Arthritis
"constipation, vision loss, difficulty swallowing, memory loss, fainting","low immunity, urban living, thyroid disorder",adult,moderate,Anemia
"muscle stiffness, unsteady gait",night shift worker,teenager,severe,Arrhythmia
"insomnia, difficulty sleeping, fainting, rash",sleep apnea,child,mild,Schizophrenia
"fever, cough, weight loss","smoker, radiation exposure",adult,moderate,Diabetes Type 2
double vision,,adult,moderate,Asthma
"dizziness, heat intolerance, skin discoloration, hair loss","recent surgery, high cholesterol, diabetes, chronic kidney disease",adult,moderate,COVID-19
"muscle stiffness, unsteady gait",night shift worker,adult,severe,Arrhythmia
joint pain,"rural living, occupational hazard, alcohol use",teenager,moderate,Meningitis
sensitivity to light,"COPD, sleep apnea",adult,moderate,Sleep Apnea
"nail changes, leg cramps, chest pain, skin discoloration, difficulty swallowing",,senior,severe,Cataract
frequent infections,"asthma, rural living",adult,moderate,Addison’s Disease
"leg cramps, wheezing, hoarseness",sleep apnea,teenager,mild,Hepatitis B
"constipation, back pain, sensitivity to light, abdominal pain, hearing loss",COPD,adult,mild,Sleep Apnea
urinary incontinence,"recent infection, anemia",adult,moderate,Typhoid
"dizziness, hair loss, skin discoloration, heat intolerance",,senior,mild,COVID-19
"involuntary movements, acid reflux, nail changes","recent infection, stress, alcohol use, night shift worker",teenager,mild,PCOS
"dry eyes, fever, muscle pain, trouble walking","low immunity, autoimmune disorder",adult,moderate,Hypertension
insomnia,long-term medication use,teenager,moderate,Irritable Bowel Syndrome
"bleeding gums, dizziness, fever, nail changes","thyroid disorder, COPD",adult,mild,Common Cold
"low energy, persistent sneezing, wheezing",long-term medication use,adult,mild,Leukemia
"cough, tremors, abdominal pain",,adult,moderate,Sinusitis
"palpitations, difficulty breathing at night","alcohol use, night shift worker, hypertension",adult,moderate,Cirrhosis
"nosebleeds, insomnia, loss of balance, weight loss, depression, difficulty sleeping",,senior,mild,Hepatitis C
"dry mouth, frequent infections, nail changes, blurred vision",family history of heart disease,senior,mild,Cushing Syndrome
"headache, diarrhea, neck stiffness","long-term medication use, exposure to chemicals",adult,mild,Lupus
"chronic cough, lightheadedness, loss of taste, leg cramps, increased thirst","occupational hazard, chronic kidney disease, exposure to chemicals",child,moderate,Parkinson’s Disease
"fatigue, hallucinations","smoker, alcohol use, exposure to chemicals, frequent travel",adult,moderate,Insomnia
"gas/bloating, sore throat, loss of appetite, difficulty concentrating, wheezing, weight loss, painful urination",,child,mild,Bronchitis
"wheezing, painful urination, loss of appetite, sore throat, weight loss, gas/bloating, difficulty concentrating","chronic liver disease, chronic kidney disease",senior,moderate,Bronchitis
"fatigue, abdominal pain, hoarseness, loss of appetite","chronic kidney disease, low immunity, family history of cancer",senior,mild,Iron Deficiency
"difficulty sleeping, loss of balance, nosebleeds, weight loss, depression, insomnia",,adult,severe,Hepatitis C
lightheadedness,"vitamin D deficiency, exposure to chemicals",senior,mild,Tuberculosis
insomnia,"malnutrition, chronic liver disease",adult,moderate,Gallstones
heat intolerance,"pregnancy, urban living, high cholesterol, autoimmune disorder",teenager,mild,Stroke
"insomnia, loss of appetite, difficulty breathing at night",autoimmune disorder,child,mild,Cerebral Palsy
"wheezing, neck stiffness",occupational hazard,adult,mild,Bipolar Disorder
"nail changes, fever, dizziness, bleeding gums",,adult,mild,Common Cold
"abdominal pain, tremors, lightheadedness, cough",alcohol use,adult,mild,Sinusitis
"lightheadedness, increased thirst, back pain, chest pain","obesity, family history of heart disease",adult,moderate,Hyperthyroidism
"shortness of breath, depression, heat intolerance",high cholesterol,teenager,severe,Stroke
"change in voice, leg cramps, loss of appetite, unsteady gait","family history of cancer, alcohol use",adult,mild,Rheumatoid Arthritis
"depression, heat intolerance, dizziness","high cholesterol, autoimmune disorder",teenager,moderate,Stroke
neck stiffness,"radiation exposure, diabetes",adult,mild,Osteoporosis
"difficulty sleeping, urinary incontinence, tremors, nausea, difficulty speaking, hand tremors","urban living, HIV positive, chronic liver disease",adult,mild,Multiple Sclerosis
"nausea, tremors, difficulty speaking",chronic liver disease,senior,moderate,Multiple Sclerosis
"heat intolerance, loss of taste, abdominal pain","sedentary lifestyle, family history of cancer",adult,mild,Lymphoma
"loss of balance, increased thirst, difficulty concentrating, lightheadedness, chest pain","obesity, family history of heart disease",senior,mild,Hyperthyroidism
"blurred vision, diarrhea",radiation exposure,child,moderate,Malaria
"muscle stiffness, unsteady gait, palpitations, constipation, muscle pain","occupational hazard, stress, night shift worker",teenager,mild,Arrhythmia
"fainting, double vision, frequent urination",thyroid disorder,adult,moderate,Pneumonia
"tingling sensation, insomnia",smoker,adult,severe,Urinary Tract Infection
"persistent hiccups, skin discoloration, insomnia, acid reflux",long-term medication use,senior,moderate,Irritable Bowel Syndrome
"difficulty swallowing, headache, wheezing",exposure to chemicals,adult,mild,Lupus
"difficulty swallowing, painful urination, muscle pain, cough, tremors, chest pain, groin pain","pregnancy, alcohol use, occupational hazard, malnutrition",senior,severe,Macular Degeneration
hiccups,,adult,mild,Pancreatitis
"cold hands and feet, change in voice, loss of appetite, leg cramps, increased thirst, unsteady gait","anemia, family history of cancer, alcohol use",adult,moderate,Rheumatoid Arthritis
"difficulty urinating, difficulty swallowing, dry mouth, unsteady gait, skin discoloration, hallucinations","alcohol use, malnutrition, occupational hazard",senior,severe,Alzheimer’s Disease
"vomiting, difficulty breathing at night, chronic cough, weight loss","hypertension, allergies",adult,severe,Down Syndrome
cold hands and feet,"recent surgery, long-term medication use",child,mild,Lung Cancer
painful urination,"alcohol use, urban living, HIV positive",teenager,severe,Otitis Media
"nausea, hand tremors, difficulty sleeping, tremors, difficulty speaking","HIV positive, urban living, chronic liver disease",adult,mild,Multiple Sclerosis
"frequent belching, frequent infections, memory loss, insomnia, anxiety, difficulty urinating","radiation exposure, vitamin D deficiency, long-term medication use",teenager,mild,Skin Cancer
irritability,"autoimmune disorder, night shift worker, frequent travel",teenager,mild,Measles
"sore throat, swelling in legs, weight loss, neck stiffness",,adult,mild,Tetanus
"irregular heartbeat, loss of taste, difficulty urinating, abdominal pain","family history of heart disease, family history of cancer, sedentary lifestyle",adult,moderate,Lymphoma
repetitive movements,recent infection,senior,mild,Typhoid
lightheadedness,"rural living, stress",senior,mild,Breast Cancer
"fever, weight loss, fainting, cough",,senior,moderate,Diabetes Type 2
abdominal pain,anemia,teenager,mild,Migraine
"drooling, nosebleeds, hand tremors, cough, hallucinations","exposure to chemicals, smoker",teenager,moderate,Insomnia
"night sweats, rash, persistent sneezing, heat intolerance, swollen lymph nodes, nail changes",,senior,mild,Kidney Stones
